IC_Year,Solar_Hijri_Year,Nowruz_Gregorian,Nowruz_Day_of_Week,Gregorian_Year_of_Nowruz,Is_Leap_Year,Days_in_Year,Days_in_Esfand,Cycle_Position
5026,1405,2026-03-21,Saturday,2026,No,365,29,10
5027,1406,2027-03-21,Sunday,2027,No,365,29,11
5028,1407,2028-03-21,Tuesday,2028,No,365,29,12
5029,1408,2029-03-21,Wednesday,2029,Yes,366,30,13
5030,1409,2030-03-21,Thursday,2030,No,365,29,14
5031,1410,2031-03-21,Friday,2031,No,365,29,15
5032,1411,2032-03-21,Sunday,2032,No,365,29,16
5033,1412,2033-03-21,Monday,2033,Yes,366,30,17
5034,1413,2034-03-21,Tuesday,2034,No,365,29,18
5035,1414,2035-03-21,Wednesday,2035,No,365,29,19
5036,1415,2036-03-21,Friday,2036,No,365,29,20
5037,1416,2037-03-21,Saturday,2037,No,365,29,21
5038,1417,2038-03-21,Sunday,2038,Yes,366,30,22
5039,1418,2039-03-21,Monday,2039,No,365,29,23
5040,1419,2040-03-21,Wednesday,2040,No,365,29,24
5041,1420,2041-03-21,Thursday,2041,No,365,29,25
5042,1421,2042-03-21,Friday,2042,Yes,366,30,26
5043,1422,2043-03-21,Saturday,2043,No,365,29,27
5044,1423,2044-03-21,Monday,2044,No,365,29,28
5045,1424,2045-03-21,Tuesday,2045,No,365,29,29
5046,1425,2046-03-21,Wednesday,2046,Yes,366,30,30
5047,1426,2047-03-21,Thursday,2047,No,365,29,31
5048,1427,2048-03-21,Saturday,2048,No,365,29,32
5049,1428,2049-03-21,Sunday,2049,No,365,29,33
5050,1429,2050-03-21,Monday,2050,Yes,366,30,1
5051,1430,2051-03-21,Tuesday,2051,No,365,29,2
5052,1431,2052-03-21,Thursday,2052,No,365,29,3
5053,1432,2053-03-21,Friday,2053,No,365,29,4
5054,1433,2054-03-21,Saturday,2054,Yes,366,30,5
5055,1434,2055-03-21,Sunday,2055,No,365,29,6
5056,1435,2056-03-21,Tuesday,2056,No,365,29,7
5057,1436,2057-03-21,Wednesday,2057,No,365,29,8
5058,1437,2058-03-21,Thursday,2058,Yes,366,30,9
5059,1438,2059-03-21,Friday,2059,No,365,29,10
5060,1439,2060-03-21,Sunday,2060,No,365,29,11
5061,1440,2061-03-21,Monday,2061,No,365,29,12
5062,1441,2062-03-21,Tuesday,2062,Yes,366,30,13
5063,1442,2063-03-21,Wednesday,2063,No,365,29,14
5064,1443,2064-03-21,Friday,2064,No,365,29,15
5065,1444,2065-03-21,Saturday,2065,No,365,29,16
5066,1445,2066-03-21,Sunday,2066,Yes,366,30,17
5067,1446,2067-03-21,Monday,2067,No,365,29,18
5068,1447,2068-03-21,Wednesday,2068,No,365,29,19
5069,1448,2069-03-21,Thursday,2069,No,365,29,20
5070,1449,2070-03-21,Friday,2070,No,365,29,21
5071,1450,2071-03-21,Saturday,2071,Yes,366,30,22
5072,1451,2072-03-21,Monday,2072,No,365,29,23
5073,1452,2073-03-21,Tuesday,2073,No,365,29,24
5074,1453,2074-03-21,Wednesday,2074,No,365,29,25
5075,1454,2075-03-21,Thursday,2075,Yes,366,30,26
5076,1455,2076-03-21,Saturday,2076,No,365,29,27
5077,1456,2077-03-21,Sunday,2077,No,365,29,28
5078,1457,2078-03-21,Monday,2078,No,365,29,29
5079,1458,2079-03-21,Tuesday,2079,Yes,366,30,30
5080,1459,2080-03-21,Thursday,2080,No,365,29,31
5081,1460,2081-03-21,Friday,2081,No,365,29,32
5082,1461,2082-03-21,Saturday,2082,No,365,29,33
5083,1462,2083-03-21,Sunday,2083,Yes,366,30,1
5084,1463,2084-03-21,Tuesday,2084,No,365,29,2
5085,1464,2085-03-21,Wednesday,2085,No,365,29,3
5086,1465,2086-03-21,Thursday,2086,No,365,29,4
5087,1466,2087-03-21,Friday,2087,Yes,366,30,5
5088,1467,2088-03-21,Sunday,2088,No,365,29,6
5089,1468,2089-03-21,Monday,2089,No,365,29,7
5090,1469,2090-03-21,Tuesday,2090,No,365,29,8
5091,1470,2091-03-21,Wednesday,2091,Yes,366,30,9
5092,1471,2092-03-21,Friday,2092,No,365,29,10
5093,1472,2093-03-21,Saturday,2093,No,365,29,11
5094,1473,2094-03-21,Sunday,2094,No,365,29,12
5095,1474,2095-03-21,Monday,2095,Yes,366,30,13
5096,1475,2096-03-21,Wednesday,2096,No,365,29,14
5097,1476,2097-03-21,Thursday,2097,No,365,29,15
5098,1477,2098-03-21,Friday,2098,No,365,29,16
5099,1478,2099-03-21,Saturday,2099,Yes,366,30,17
5100,1479,2100-03-21,Sunday,2100,No,365,29,18
5101,1480,2101-03-21,Monday,2101,No,365,29,19
5102,1481,2102-03-21,Tuesday,2102,No,365,29,20
5103,1482,2103-03-21,Wednesday,2103,No,365,29,21
5104,1483,2104-03-21,Friday,2104,Yes,366,30,22
5105,1484,2105-03-21,Saturday,2105,No,365,29,23
5106,1485,2106-03-21,Sunday,2106,No,365,29,24
5107,1486,2107-03-21,Monday,2107,No,365,29,25
5108,1487,2108-03-21,Wednesday,2108,Yes,366,30,26
5109,1488,2109-03-21,Thursday,2109,No,365,29,27
5110,1489,2110-03-21,Friday,2110,No,365,29,28
5111,1490,2111-03-21,Saturday,2111,No,365,29,29
5112,1491,2112-03-21,Monday,2112,Yes,366,30,30
5113,1492,2113-03-21,Tuesday,2113,No,365,29,31
5114,1493,2114-03-21,Wednesday,2114,No,365,29,32
5115,1494,2115-03-21,Thursday,2115,No,365,29,33
5116,1495,2116-03-21,Saturday,2116,Yes,366,30,1
5117,1496,2117-03-21,Sunday,2117,No,365,29,2
5118,1497,2118-03-21,Monday,2118,No,365,29,3
5119,1498,2119-03-21,Tuesday,2119,No,365,29,4
5120,1499,2120-03-21,Thursday,2120,Yes,366,30,5
5121,1500,2121-03-21,Friday,2121,No,365,29,6
5122,1501,2122-03-21,Saturday,2122,No,365,29,7
5123,1502,2123-03-21,Sunday,2123,No,365,29,8
5124,1503,2124-03-21,Tuesday,2124,Yes,366,30,9
5125,1504,2125-03-21,Wednesday,2125,No,365,29,10
